Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
MFGQ.SFA1CA,1997.09,1788.95,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1997.12,3465.57,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1998.03,3611.65,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1998.06,3222.28,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1998.09,1883.69,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1998.12,3198.15,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1999.03,3290.11,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1999.06,2841.38,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1999.09,2002.75,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1999.12,3572.96,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
